sentiment,tweet
negative,@united What is your phone number. I can't find who to call about a flight reservation.
positive,"@united that would help! or how about integrate it into the App so I can just ""activate"" it and surf..."
positive,@united I appreciate your efforts getting me home!
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
negative,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused"
negative,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
positive,@VirginAmerica always!!! Xoxo
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt
positive,@VirginAmerica great. Well deserved.
positive,@united thank you!
negative,@united pls properly train your agents. Requested to speak to 1k customer service &amp
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
negative,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
negative,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service
positive,@VirginAmerica fav airline
positive,@united thank you! Excited to be working with you guys!
negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
negative,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
negative,@VirginAmerica Already checked in so the page expired :X
positive,@united Ok thank again for your help!
positive,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E
positive,So appreciated! @united
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
positive,@united thank you!
positive,@VirginAmerica your beautiful front-end design is down right now
negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
positive,@united thank you
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
positive,@united thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.
negative,@united okay ase24766m. Find our luggage.
negative,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket."
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.
positive,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!
negative,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx
negative,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!
negative,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
positive,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat."
positive,"@united Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated"
positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
positive,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?"
positive,@united that's great! pls let me know when u start!
negative,"@united I received 1 bag last night, I am still missing the other one."
negative,@united you think you boarded flight AU1066 too early? I think so.
negative,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback
positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
negative,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
negative,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
positive,@united Was able to send the DM. All good now.
positive,@united thanks -- we filled it out. How's our luck with this? Is it common?
negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
positive,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys
positive,@united Thanks. It is on the same ticket.
negative,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.
positive,@united What a really GREAT &amp
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive,@VirginAmerica your inflight team makes the experience #amazing!
negative,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.
positive,@united ok thx!
negative,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
negative,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.
positive,@united you too!
negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
positive,@VirginAmerica got it. All set - Thanks!
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
negative,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.
negative,@united how we looking on getting those bags to Lusaka
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive,@united have Michelle at T1 ORD train your other staff on how to treat customers. A refreshing pleasure to deal with.
positive,@united I will. Thanks.
negative,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
negative,@united you have to follow me in order for me to DM...come on now
positive,"@united All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!"
positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
positive,@united Great! I'm ready to go home.
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
positive,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive,@united counter agents at RDU deserve a medal. #thankyou
positive,@united thank you
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
negative,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!
positive,@VirginAmerica wifi AND better seating.
positive,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien
positive,@VirginAmerica That's classy.
negative,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
negative,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.
positive,@united Cool. Thank you.
positive,@united Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN
positive,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow
negative,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
negative,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
positive,"@united just touched down in Miami - not too far off , Nicely done united 👍"
negative,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
negative,@VirginAmerica already contacted Central Baggage &amp
positive,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines
negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
negative,@VirginAmerica Site down? #help
negative,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.
positive,"@united gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT"
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
negative,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC
positive,@united thanks for listening! I definitely was not the only person in line who thought it was absurd.
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
positive,@united one lady helping the 12 of us with luggage
positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
positive,@united thanks for the epic service on 863- always a pleasure- outstanding crew http://t.co/trqlpeinzW
negative,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights."
positive,@united it was delivered! Thank you for making sure it arrived at my doorstep!
negative,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!
negative,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?
negative,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!"
positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
positive,@VirginAmerica Thank you!!
positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
positive,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”
positive,@united so is that two seats avail so far for us.
negative,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required
positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
positive,@united thank you very much for the help. We're do I pick up my bags aspen airport &amp
negative,@virginamerica how's a direct flight FLL-&gt
positive,@VirginAmerica Thanks for your great customer service today &amp
positive,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer
positive,@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.
negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain"
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
positive,@united you're good. Thank you!
positive,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.
negative,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!"
negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines
negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
negative,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags."
negative,@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
positive,"@united Ill check it out, appreciate the response, regardless."
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive,@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!
negative,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
positive,@united Just sent! Thanks :)
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
positive,@united thank you. I flew into Newark from Vail/Eagle.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
positive,@united thanks
negative,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
positive,"@united Yes, they did. Must have fixed the broken ramp. Thanks!"
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
positive,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.
positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
negative,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
negative,@VirginAmerica Use another browser! 2015 &amp
negative,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp
positive,@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!
positive,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA"
negative,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
positive,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative,"@united as a 1k, I'm always hoping for improvement."
negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
positive,@VirginAmerica sounds like fun !
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,@united Just sent a DM. Thank you for the acknowledgment.
negative,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2)
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
negative,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
positive,@united thank you for following up!
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.
negative,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'"
positive,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
positive,@VirginAmerica thanks so much!
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
positive,@VirginAmerica Keep up the great work :)
negative,@united Could this email be resent as it doesnt appear to have arrived.
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO"
positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
positive,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
negative,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward."
negative,@united plus what about food? And taxis?
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
negative,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp
negative,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
positive,@united has the best customer experience via twitter - huge fan!!!
negative,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
positive,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!
negative,@united YOU GUYS ARE HORRIBLE.
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
positive,@united I trust you enough to put my coat in my checked bag!
negative,@united The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.
negative,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
negative,@VirginAmerica and it's a really big bad thing about it
positive,@united thanks we'll be in touch!
negative,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out
